id,handle,followers_count,friends_count,isProxy
0,"SPORT1",598292,1880,0
1,"BBCWorld",31520846,70,0
2,"guardiannews",3511890,1236,0
3,"BarackObama",130108810,593477,0
4,"derspiegel",2778184,317,0
5,"tagesschau",2985194,318,0
6,"swfc",322487,809,0
7,"UEFAcom",4798283,284,0
8,"Konni",5689,852,0
9,"spox",54550,1784,0
10,"uwebaltner",50007,331,0
11,"AFCWimbledon",67695,595,0
12,"SPIEGEL_EIL",1888435,26,0
13,"ManCity",9401394,51484,0
14,"Alienware",485102,676,0
15,"werderbremen",515755,511,0
16,"realmadrid",36564015,60,0
17,"DynamoDresden",103159,51,0
18,"ruhrpoet",13492,968,0
19,"NonLeaguePaper",72741,4028,0
20,"Everton",2436074,282,0
21,"VfL_Wolfsburg",286878,282,0
22,"DLR_de",104687,2517,0
23,"11Freunde_de",267139,356,0
24,"pnefc",110893,535,0
25,"amnesty_de",216859,902,0
26,"SZ_TopNews",226651,82,0
27,"Transfermarkt",123790,1211,0
28,"SPIEGEL_Sport",245347,68,0
29,"faznet",650263,318,0
30,"freefm",929,155,0
31,"ZDFsport",620192,1530,0
32,"kleeblattfuerth",51705,8,0
33,"JamTarts",94298,157,0
34,"nflnetwork",4119025,1956,0
35,"NFL",26543559,2723,0
36,"YorkCityFC",53767,142,0
37,"LFC",16867272,365424,0
38,"jonas_friedlich",4289,854,0
39,"shrewsweb",80767,474,0
40,"SZ_Sport",159145,24,0
41,"SZ_Muenchen",218054,187,0
42,"TranmereRovers",59406,1085,0
43,"DundalkFC",40093,224,0
44,"Rovers",248811,886,0
45,"helgepayer",3041,921,0
46,"afcbournemouth",559639,118,0
47,"LaticsOfficial",307012,2190,0
48,"sv98",100388,80,0
49,"089er",208,137,0
50,"FulhamFC",590260,205,0
51,"ChelseaFC",16456856,272,0
52,"Tagesspiegel",438461,1508,0
53,"phoenix_de",128809,998,0
54,"kicker_bl_li",208894,20,0
55,"kicker_2bl_li",39958,20,0
56,"officialcufc",71585,201,0
57,"SportsCenter",37629406,731,0
58,"JakePompeySmith",2899,881,0
59,"AVFCOfficial",1565834,188,0
60,"SunderlandAFC",946394,568,0
61,"Bimon",154722,1286,0
62,"EtienneToGo",265910,1267,0
63,"Chaz_Ashley",39588,36,0
64,"ntfc",80666,624,0
65,"EFL",511971,446,0
66,"theposhofficial",90026,578,0
67,"Arsenal",17265918,150334,0
68,"IAmKlocky",333,1265,0
69,"SpaceX",15692945,100,0
70,"NUFC",1679392,103,0
71,"LutonTown",97323,533,0
72,"NewportCounty",70033,376,0
73,"PSG_inside",8885834,139,0
74,"NFLMedia",104079,1083,0
75,"SIgames",68546,127,0
76,"TobiasEscher",39609,433,0
77,"FA",2145602,121,0
78,"crawleytown",72169,209,0
79,"NFFC",370445,134,0
80,"MickyBeisenherz",238041,2589,0
81,"ftfc",87259,208,0
82,"CardiffCityFC",354896,456,0
83,"Margot_Dumont",63908,1920,0
84,"burtonalbionfc",74541,361,0
85,"scfreiburg",279224,107,0
86,"Official_HUFC",62392,641,0
87,"1_fc_nuernberg",283246,108,0
88,"OfficialECFC",73564,463,0
89,"stokecity",1076878,165,0
90,"OptaJoe",1250362,24,0
91,"leytonorientfc",79206,416,0
92,"Bundesliga_DE",2286314,42,0
93,"pr_magazin",8961,1,0
94,"SouthamptonFC",1357083,266,0
95,"guardian_sport",853477,1766,0
96,"Hannover96",321491,208,0
97,"1FSVMainz05",192594,79,0
98,"Wolves",795427,1877,0
99,"mansfieldtownfc",61196,307,0
100,"fwillikonsky",671,351,0
101,"OptaFranz",77295,290,0
102,"Rote_Teufel",161089,330,0
103,"OUFCOfficial",81650,661,0
104,"DerSpoJo",1082,526,0
105,"FootballManager",373194,686,0
106,"ZDF",1286380,404,0
107,"OfficialBHAFC",402313,248,0
108,"Nur_Energie",34512,59,0
109,"TheLeaguePaper",33736,1238,0
110,"BCFC",352260,61,0
111,"VfLBochum1848eV",105858,109,0
112,"tsghoffenheim",209678,129,0
113,"ColU_Official",70420,158,0
114,"sheffieldfc",22227,1043,0
115,"SheffieldUnited",420555,143,0
116,"CAFCofficial",171060,192,0
117,"OfficialBWFC",220997,279,0
118,"arsenal_lady",2194,863,0
119,"metpoliceuk",1292532,802,0
120,"ceskarepre_cz",38278,129,0
121,"BILDblog",214106,111,0
122,"DLR_next",166931,4997,0
123,"TUFC1899",37613,193,0
